id,study_name,effect_key,b,s,n,specialty,outcome_group,outcome_flag,outcome_nr,comparison_nr,RCT,study_year,outcome_name,comparison_name,z,gold_answer_GPT4,llama3-8b-8192,llama3-70b-8192,llama-3_1-70b-versatile,mixtral-8x7b-32768,gemma-7b-it,human_response,MV,llama3-8b-8192_cleaned,llama3-70b-8192_cleaned,llama-3_1-70b-versatile_cleaned,mixtral-8x7b-32768_cleaned,gemma-7b-it_cleaned,MV_cleaned,gold_answer_GPT4_cleaned,gemini-1_5-flash-002,gemini-1_5-flash-002_tokens,gemini-1_5-flash-002_logprobs,gemini-1_5-pro-002,gemini-1_5-flash-002_cleaned,gemini-1_5-pro-002_cleaned,meta-llama_Llama-3_2-1B-Instruct,meta-llama_Llama-3_2-1B-Instruct_cleaned,meta-llama_Llama-3_2-3B-Instruct,meta-llama_Llama-3_2-3B-Instruct_cleaned,meta-llama_Llama-3_2-1B-Instruct_probs,meta-llama_Llama-3_2-3B-Instruct_probs,microsoft_Phi-3_5-mini-instruct,google_gemma-2-2b-it,microsoft_Phi-3_5-mini-instruct_cleaned,google_gemma-2-2b-it_cleaned,microsoft_Phi-3_5-mini-instruct_probs,google_gemma-2-2b-it_probs,label,question,question_id,user,status
CD000009,Li 2009,STD-Li-2009 2.5 0.383 70 70,1.1314021114911,0.459487793372212,140,Psychiatry & Mental Health,efficacy,DICH,1,5,no,2009.0,Short-term smoking cessation,Acupressure vs sham acupressure,2.46231157347547,positive,positive,positive,positive,positive,"positive.

smoking cessation",pos,negative,pos,pos,pos,pos,pos,neg,pos,"positive
",positive,0.998967702486048,"positive
",pos,pos,positive.,pos,positive,pos,0.6348432414793105,0.7320408184065393, positive,"positive 
",pos,pos,0.9885869383855056,0.828660818747513,,"In a medical study on 'Acupressure vs sham acupressure', the outcome is 'Short-term smoking cessation'. Is this considered a positive or negative health outcome?",Q10,empty,available
CD000009,Tian 1996,STD-Tian-1996 13 0.711 60 60,3.09903184339179,0.764927893646039,120,Psychiatry & Mental Health,efficacy,DICH,1,4,no,1996.0,Short-term smoking cessation,Acupressure vs waiting list/no intervention,4.05140388935252,positive,positive,positive,positive,positive,"positive.

smoking cessation",pos,negative,pos,pos,pos,pos,pos,neg,pos,"positive
",positive,0.9991304277272892,"positive
",pos,pos,positive.,pos,positive,pos,0.6516996869142628,0.6875406693987198, positive,"positive 
",pos,pos,0.9928761445211888,0.7742918907373847,,"In a medical study on 'Acupressure vs waiting list/no intervention', the outcome is 'Short-term smoking cessation'. Is this considered a positive or negative health outcome?",Q11,empty,available
CD000009,Yeh 2009,STD-Yeh-2009 0.967 0.657 30 29,-0.0392207131532814,0.760566590418971,59,Psychiatry & Mental Health,efficacy,DICH,1,6,no,2009.0,Short-term smoking cessation,Continuous auricular stimulation vs sham stimulation,-0.0515677570476452,positive,positive,positive,positive,positive,"positive.

short-",pos,negative,pos,pos,pos,pos,pos,neg,pos,"positive
",positive,0.9954612189403396,"positive
",pos,pos,positive,pos,positive,pos,0.5248462466287288,0.7005587334931423, positive,"positive 
",pos,pos,0.9924210929102314,0.89154362573506,,"In a medical study on 'Continuous auricular stimulation vs sham stimulation', the outcome is 'Short-term smoking cessation'. Is this considered a positive or negative health outcome?",Q12,empty,available
CD000010,Kamolratanakul 1999,STD-Kamolratanakul-1999 1.135 0.044 414 422,0.446479824178497,0.154930393353026,836,Infectious Diseases,efficacy,DICH,1,5,no,1999.0,Cure,Active TB: Direct observation of treatment vs self-supervision,2.88180914354966,positive,positive,positive,positive,positive,"positive.

a cure",pos,negative,pos,pos,pos,pos,pos,neg,pos,"positive
",positive,0.9999254992953154,"positive
",pos,pos,negative.,neg,positive,pos,0.4042691789578895,0.6942233745366926, positive,"positive 
",pos,pos,0.9984953427388004,0.7876150266946763,,"In a medical study on 'Active TB: Direct observation of treatment vs self-supervision', the outcome is 'Cure'. Is this considered a positive or negative health outcome?",Q13,empty,available
CD000010,Krishnaswami 1981,STD-Krishnaswami-1981 1.325 0.131 75 75,0.745718067569283,0.343356809389702,150,Infectious Diseases,efficacy,DICH,1,2,no,1981.0,Completion of treatment,Active TB: Intensive vs routine defaulter action,2.17184586755322,positive,positive,positive,positive,positive,"positive.

completion of",pos,negative,pos,pos,pos,pos,pos,neg,pos,"positive
",positive,0.9999263332235302,"positive
",pos,pos,positive,pos,positive.,pos,0.5055404131036565,0.7470639049653337, positive,"positive 
",pos,pos,0.9859324411992508,0.7488462540720804,,"In a medical study on 'Active TB: Intensive vs routine defaulter action', the outcome is 'Completion of treatment'. Is this considered a positive or negative health outcome?",Q14,empty,available
CD000010,Liefooghe 1999,STD-Liefooghe-1999 1.131 0.07 504 515,0.221918811418314,0.126275790603506,1019,Infectious Diseases,efficacy,DICH,1,3,no,1999.0,Completed treatment,Active TB:Counselling/health education vs. routine care,1.75741375569857,positive,positive,positive,positive,positive,"positive.

completed treatment",pos,negative,pos,pos,pos,pos,pos,neg,pos,"positive
",positive,0.9997997901446686,"positive
",pos,pos,positive.,pos,positive,pos,0.4802255126578775,0.763662418052956, positive,"positive 
",pos,pos,0.9796631852265832,0.777027512953521,,"In a medical study on 'Active TB:Counselling/health education vs. routine care', the outcome is 'Completed treatment'. Is this considered a positive or negative health outcome?",Q15,empty,available
CD000010,Malotte 1998,STD-Malotte-1998 2.6 0.145 204 100,2.50567520186153,0.292276320923085,304,Infectious Diseases,efficacy,DICH,1,11,no,1998.0,Keeping first appointment,TB evaluation: Incentive ($5) vs routine care,8.57296682108202,positive,positive,positive,positive,positive,"positive.

keeping the",pos,negative,pos,pos,pos,pos,pos,neg,pos,"positive
",positive,0.9967836823669932,"positive
",pos,pos,positive.,pos,neutral,neu,0.4407730629523808,0.4049923290501797, positive,"positive 
",pos,pos,0.9791359244955956,0.7797016456009429,,"In a medical study on 'TB evaluation: Incentive ($5) vs routine care', the outcome is 'Keeping first appointment'. Is this considered a positive or negative health outcome?",Q16,empty,available
CD000010,Morisky 1990,STD-Morisky-1990 1.072 0.052 43 45,1.41039191269895,1.13938569751948,88,Infectious Diseases,efficacy,DICH,1,4,no,1990.0,Completion of treatment,Active TB: Incentive plus health education vs routine care,1.23785292001599,positive,positive,positive,positive,positive,"positive.

completion of",pos,negative,pos,pos,pos,pos,pos,neg,pos,"positive
",positive,0.9994967058650048,"positive
",pos,pos,positive.,pos,positive.,pos,0.6026487648118084,0.7336065383191918, positive,"positive 
",pos,pos,0.936279668120572,0.7517497773907971,,"In a medical study on 'Active TB: Incentive plus health education vs routine care', the outcome is 'Completion of treatment'. Is this considered a positive or negative health outcome?",Q17,empty,available
CD000010,Paramasivan 1993,STD-Paramasivan-1993 1.205 0.071 100 100,0.997807589546144,0.381356312221252,200,Infectious Diseases,efficacy,DICH,1,1,no,1993.0,Completion of treatment,Active TB: Defaulter action vs no defaulter action,2.61647062751972,positive,positive,positive,positive,positive,"positive.

completion of",pos,negative,pos,pos,pos,pos,pos,neg,pos,"positive
",positive,0.9999239505219082,"positive
",pos,pos,positive,pos,positive.,pos,0.4198858207657064,0.7046150130394154, positive,"positive 
",pos,pos,0.98830845591463,0.8352310496784268,,"In a medical study on 'Active TB: Defaulter action vs no defaulter action', the outcome is 'Completion of treatment'. Is this considered a positive or negative health outcome?",Q18,empty,available
CD000010,Sanmarti 1993,STD-Sanmarti-1993 1.312 0.078 80 77,1.79175946922805,0.526279105579632,157,Infectious Diseases,efficacy,DICH,1,9,no,1993.0,Completion of treatment,Prophylaxis: Health education vs no health education,3.40458028873226,positive,positive,positive,positive,positive,"positive.

completion of",pos,negative,pos,pos,pos,pos,pos,neg,pos,"positive
",positive,0.998939626094152,"positive
",pos,pos,positive.,pos,positive,pos,0.4463552637466783,0.5449607647705723," positive

","positive 
",pos,pos,0.7420833285017098,0.8285973771088186,,"In a medical study on 'Prophylaxis: Health education vs no health education', the outcome is 'Completion of treatment'. Is this considered a positive or negative health outcome?",Q19,empty,available
CD000010,Tanke 1997,STD-Tanke-1997 1.051 0.025 376 325,0.537339000164863,0.264012265967145,701,Infectious Diseases,efficacy,DICH,1,19,no,1997.0,Keeping first appointment,TB Evaluation: Reminders vs no reminders,2.03528043743139,positive,positive,positive,positive,positive,"positive.

keeping the",pos,negative,pos,pos,pos,pos,pos,neg,pos,"positive
",positive,0.999256126671048,"positive
",pos,pos,positive.,pos,positive,pos,0.5956998388281353,0.4952434592121503, positive,"positive 
",pos,pos,0.9956679478984106,0.8004306788307484,,"In a medical study on 'TB Evaluation: Reminders vs no reminders', the outcome is 'Keeping first appointment'. Is this considered a positive or negative health outcome?",Q20,empty,available
CD000010,Tulsky 2000,STD-Tulsky-2000 1.679 0.321 43 38,0.796004565999653,0.479596216966232,81,Infectious Diseases,efficacy,DICH,1,7,no,2000.0,Completion of preventive therapy,Prophylaxis: Incentive ($5) vs routine care,1.65973904263657,positive,positive,positive,positive,positive,"positive.

completion of",pos,negative,pos,pos,pos,pos,pos,neg,pos,"positive
",positive,0.9998727028729668,"positive
",pos,pos,positive.,pos,positive,pos,0.5196656651338011,0.6219801634423033, positive,"positive 
",pos,pos,0.9830828955035532,0.8755667469809506,,"In a medical study on 'Prophylaxis: Incentive ($5) vs routine care', the outcome is 'Completion of preventive therapy'. Is this considered a positive or negative health outcome?",Q21,empty,available
CD000010,White 1998,STD-White-1998 1.106 0.45 31 30,0.133531392624523,0.595662374668967,61,Infectious Diseases,efficacy,DICH,1,8,no,1998.0,Keeping first appointment,Prophylaxis: Incentive ($5) plus health education vs health education alone,0.224172951495772,positive,positive,positive,positive,positive,"positive.

keeping the",pos,negative,pos,pos,pos,pos,pos,neg,pos,"positive
",positive,0.9984129224416946,"positive
",pos,pos,positive.,pos,positive,pos,0.541198503843926,0.6201066568226051, positive,"positive 
",pos,pos,0.9645408589690324,0.8195391824824099,,"In a medical study on 'Prophylaxis: Incentive ($5) plus health education vs health education alone', the outcome is 'Keeping first appointment'. Is this considered a positive or negative health outcome?",Q22,empty,available
CD000010,Wurtele 1980,STD-Wurtele-1980 1.102 0.034 629 653,0.366062083519659,0.127404050228936,1282,Infectious Diseases,efficacy,DICH,1,17,no,1980.0,Keeping first appointment,TB Evaluation: Verbal contract vs no contract,2.87323741169822,positive,positive,positive,positive,positive,"positive.

keeping the",pos,negative,pos,pos,pos,pos,pos,neg,pos,"positive
",positive,0.9974896755475045,"positive
",pos,pos,positive.,pos,neutral,neu,0.5043616178559442,0.478565068369518, positive,"positive 
",pos,pos,0.995389242274678,0.7213573249262677,,"In a medical study on 'TB Evaluation: Verbal contract vs no contract', the outcome is 'Keeping first appointment'. Is this considered a positive or negative health outcome?",Q23,empty,available
CD000012,Begley 2009,STD-Begley-2009 1.237 0.149 1059 549,0.240453099890958,0.16737008325693,1608,Pregnancy & Childbirth,efficacy,DICH,1,1,yes,2009.0,No analgesia/anesthesia,Alternative versus conventional birth settings - all trials,1.43665519674647,neutral,neutral,negative,negative.,negative,"neutral.

the absence",pos,negative,neu,neg,neg,neg,neu,neg,neu,"negative
",negative,0.9868977279655562,"neutral
",neg,neu,negative.,neg,negative,neg,0.5011580854834997,0.6144761230660124," neutral

","neutral 
",neu,neu,0.5042667501758678,0.4776413043750637,,"In a medical study on 'Alternative versus conventional birth settings - all trials', the outcome is 'No analgesia/anesthesia'. Is this considered a positive or negative health outcome?",Q24,empty,available
CD000013,Amin 2003,STD-Amin-2003 0.294 0.484 80 80,-1.39812881876689,0.536684151636802,160,Pregnancy & Childbirth,efficacy,DICH,1,1,no,2003.0,"Caesarean section, overall","Transcervical amnioinfusion for intrapartum umbilical cord compression (potential, or diagnosed by EFM)*",-2.60512410232876,negative,negative,negative,negative.,negative,"negative.

caes",neg,negative,neg,neg,neg,neg,neg,neg,neg,"negative
",negative,0.9901411839211304,"negative
",neg,neg,negative.,neg,negative,neg,0.5053031749018777,0.7925072097697992, negative,"negative 
",neg,neg,0.9834115841632391,0.6578221066842471,,"In a medical study on 'Transcervical amnioinfusion for intrapartum umbilical cord compression (potential, or diagnosed by EFM)*', the outcome is 'Caesarean section, overall'. Is this considered a positive or negative health outcome?",Q25,empty,available
CD000013,Vergani 1996,STD-Vergani-1996 0.127 0.717 37 33,-2.55681923137829,0.807856162288417,70,Pregnancy & Childbirth,efficacy,DICH,1,2,yes,1996.0,Suspicious/ominous fetal heart rate pattern,"Transabdominal amnioinfusion for cord compression (potential, or diagnosed by fetal heart rate monitor)",-3.16494365053251,negative,negative,negative,negative.,negative,"negative.

a suspicious",neg,negative,neg,neg,neg,neg,neg,neg,neg,"negative
",negative,0.9888432612219276,"negative
",neg,neg,negative.,neg,negative,neg,0.5232117433193236,0.920720090748928, negative,"negative 
",neg,neg,0.9820115737662832,0.9279777547062504,,"In a medical study on 'Transabdominal amnioinfusion for cord compression (potential, or diagnosed by fetal heart rate monitor)', the outcome is 'Suspicious/ominous fetal heart rate pattern'. Is this considered a positive or negative health outcome?",Q26,empty,available
CD000014,Choudhary 2010,STD-Choudhary-2010 0.043 1.015 146 146,-3.30004360297731,1.0288366701739,292,Pregnancy & Childbirth,efficacy,DICH,1,1,no,2010.0,Meconium aspiration syndrome,Amnioinfusion for meconium-stained liquor in labour,-3.20754858243876,negative,negative,negative,negative.,negative,"negative.

mecon",neg,negative,neg,neg,neg,neg,neg,neg,neg,"negative
",negative,0.9983516126852068,"negative
",neg,neg,negative.,neg,negative,neg,0.5365499871116614,0.9651195763852628, negative,"negative 
",neg,neg,0.983076211885032,0.873283354020754,,"In a medical study on 'Amnioinfusion for meconium-stained liquor in labour', the outcome is 'Meconium aspiration syndrome'. Is this considered a positive or negative health outcome?",Q27,empty,available
CD000015,Fraser 1993,STD-Fraser-1993 0.335 0.331 462 463,-1.21291884403288,0.387434539910941,925,Pregnancy & Childbirth,efficacy,DICH,1,1,no,1991.0,Cessation of contractions,Amniotomy to shorten spontaneous labour,-3.13064200293473,negative,negative,negative,negative.,negative,"positive.

cess",neg,negative,neg,neg,neg,neg,pos,neg,neg,"negative
",negative,0.9974882517317576,"negative
",neg,neg,positive.,pos,negative,neg,0.4096563329169349,0.4832255027532774, negative,"positive 
",neg,pos,0.9883093873942524,0.9307862759548552,,"In a medical study on 'Amniotomy to shorten spontaneous labour', the outcome is 'Cessation of contractions'. Is this considered a positive or negative health outcome?",Q28,empty,available
CD000015,Johnson 1997,STD-Johnson-1997 1.217 0.305 529 411,0.199036263063436,0.30953251608831,940,Pregnancy & Childbirth,efficacy,DICH,1,3,no,1997.0,Use of oxytocin,Amniotomy to shorten spontaneous labour in multiparae,0.643022147006522,neutral,positive,negative,negative.,"neutral

","positive.

the use",neg,negative,pos,neg,neg,neu,pos,neg,neu,"neutral
",neutral,0.4913291545124447,"negative
",neu,neg,positive.,pos,negative,neg,0.4630051014672283,0.3364035884850929," neutral

","positive 
",neu,pos,0.8435763911902134,0.7578797622081591,,"In a medical study on 'Amniotomy to shorten spontaneous labour in multiparae', the outcome is 'Use of oxytocin'. Is this considered a positive or negative health outcome?",Q29,empty,available
CD000016,Brazil 1983-84,STD-Brazil-1983_x002d_84 0.935 0.496 36 30,-0.0682082500265335,0.500032319576001,66,Infectious Diseases,efficacy,DICH,1,1,no,1983.0,Parasitological conversion,Amodiaquine vs chloroquine in symptomatic participants,-0.136407682776126,positive,neutral,positive,positive.,"negative, because paras","positive.

parasito",pos,negative,neu,pos,pos,neg,pos,neg,pos,"positive
",positive,0.9980932772098972,"positive
",pos,pos,positive,pos,negative,neg,0.3858461890111303,0.3925313699154665, neutral,"positive 
",neu,pos,0.8935026872565591,0.7697474827697053,,"In a medical study on 'Amodiaquine vs chloroquine in symptomatic participants', the outcome is 'Parasitological conversion'. Is this considered a positive or negative health outcome?",Q30,empty,available
CD000016,Cameroon-Centre 1994,STD-Cameroon_x002d_Centre-1994 0.896 0.555 54 52,-0.111552485905748,0.558407105536944,106,Infectious Diseases,efficacy,DICH,1,2,no,1994.0,Parasitological conversion on day 7,Amodiaquine vs chloroquine in asymptomatic participants,-0.199769101789066,positive,negative,negative,negative.,"negative, because parasit","positive.

parasito",pos,negative,neg,neg,neg,neg,pos,neg,pos,"positive
",positive,0.9929852947092918,"positive
",pos,pos,positive.,pos,negative,neg,0.4352305806982826,0.4407332887545765, neutral,"negative 
",neu,neg,0.4786503648256666,0.5312476755720446,,"In a medical study on 'Amodiaquine vs chloroquine in asymptomatic participants', the outcome is 'Parasitological conversion on day 7'. Is this considered a positive or negative health outcome?",Q31,empty,available
CD000016,Cameroon-Hévécam2001,STD-Cameroon_x002d_H_x00e9_v_x00e9_cam2001 0.129 1.164 61 62,-2.01204995155986,1.52276337715625,123,Infectious Diseases,efficacy,DICH,1,3,no,2001.0,Parasitological conversion,Amodiaquine vs sulphadoxine-pyrimethamine in symptomatic participants,-1.32131490797825,positive,neutral,negative,positive,"negative, because parasit","positive.

parasito",pos,negative,neu,neg,pos,neg,pos,neg,pos,"positive
",positive,0.9977707953753824,"positive
",pos,pos,positive,pos,negative,neg,0.408170134324827,0.4242032251375141," positive
","positive 
",pos,pos,0.5937220808548974,0.7988491623690028,,"In a medical study on 'Amodiaquine vs sulphadoxine-pyrimethamine in symptomatic participants', the outcome is 'Parasitological conversion'. Is this considered a positive or negative health outcome?",Q32,empty,available
CD000018,Amoroso 1998,STD-Amoroso-1998 0.332 0.663 389 388,-1.11691345305051,0.670577095080808,777,Emergency & Trauma,efficacy,DICH,1,1,no,1998.0,Ankle sprain by intervention type,Any intervention v no intervention/control,-1.66560036309609,negative,negative,negative,negative.,"negative, because an an","negative.

an ankle",neg,negative,neg,neg,neg,neg,neg,neg,neg,"negative
",negative,0.9997387536307772,"negative
",neg,neg,negative.,neg,negative,neg,0.5785372768177786,0.9286068420899528, negative,"negative 
",neg,neg,0.9431169023612914,0.70962736599664,,"In a medical study on 'Any intervention v no intervention/control', the outcome is 'Ankle sprain by intervention type'. Is this considered a positive or negative health outcome?",Q33,empty,available
CD000018,Holme 1999,STD-Holme-1999 0.238 0.728 29 38,-1.70474809223843,0.815464999238573,67,Emergency & Trauma,efficacy,DICH,1,13,no,1999.0,Re-injury (recurrent ankle sprain),Rehabilitation: supervised programme (emphasis on balance training) v control,-2.09052270033687,negative,negative,negative,negative.,negative,"negative.

re-",neg,negative,neg,neg,neg,neg,neg,neg,neg,"negative
",negative,0.9923635277517034,"negative
",neg,neg,negative.,neg,negative.,neg,0.6873847763162261,0.934374626977772, negative,"negative 
",neg,neg,0.9940818026262608,0.8213524453660179,,"In a medical study on 'Rehabilitation: supervised programme (emphasis on balance training) v control', the outcome is 'Re-injury (recurrent ankle sprain)'. Is this considered a positive or negative health outcome?",Q34,empty,available
CD000018,Simon 1969,STD-Simon-1969 1.027 0.688 73 75,0.0285733724440557,0.727033190896703,148,Emergency & Trauma,efficacy,DICH,1,9,no,1969.0,Ankle injury,Adhesive tape v cloth wrap,0.0393013314960409,negative,negative,negative,negative.,"negative, as ankle","negative.

ankle",neg,negative,neg,neg,neg,neg,neg,neg,neg,"negative
",negative,0.9994115904808186,"negative
",neg,neg,negative.,neg,negative,neg,0.5801377281374825,0.9508111045522216, negative,"negative 
",neg,neg,0.9685825818305032,0.5365653381495239,,"In a medical study on 'Adhesive tape v cloth wrap', the outcome is 'Ankle injury'. Is this considered a positive or negative health outcome?",Q35,empty,available
